"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Code","5","351","2242434658304","81969152","41644032","19304","E:\MySoft\Microsoft VS Code\Code.exe","""E:\MySoft\Microsoft VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1364,12699180385919364944,12176125461545580844,131072 --enable-features=WebComponentsV0Enabled --disable-features=CalculateNativeWinOcclusion,CertVerifierService,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""E:\MySoft\Microsoft VS Code\resources\app"" --no-sandbox --no-zygote --disable-blink-features=Auxclick --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=2920 /prefetch:1 --vscode-window-config=vscode:3f1232af-c0cf-440d-967c-00ddf493618d","System.Diagnostics.Process (Code)","Microsoft Corporation","52.4375","1.57.0","1.57.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4440","8",,"False","2021/06/14 23:57:57",,"7212",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19304","19304","41644032","41644032","490944","490944","471261184","471261184","516186112","516186112","2246627774464","359878656","True","Normal","41644032","41644032","Code","255","5",,"System.Diagnostics.ProcessThreadCollection","351","2242434658304","461729792","False",,,,"81969152","81969152",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:15.0781250","00:00:52.4375000","00:00:37.3593750","0","","True",,
"Code","5","277","2242347040768","123031552","76828672","15952","E:\MySoft\Microsoft VS Code\Code.exe","""E:\MySoft\Microsoft VS Code\Code.exe"" --inspect-port=0 ""e:\MySoft\Microsoft VS Code\resources\app\out\bootstrap-fork"" --type=extensionHost","System.Diagnostics.Process (Code)","Microsoft Corporation","30.609375","1.57.0","1.57.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4144","8",,"False","2021/06/15 0:04:48",,"8980",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15952","15952","76828672","76828672","451160","451160","92958720","92958720","154996736","154996736","2246611406848","343511040","True","Normal","76828672","76828672","Code","255","5",,"System.Diagnostics.ProcessThreadCollection","277","2242347040768","374112256","False",,,,"123031552","123031552",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:04.4687500","00:00:30.6093750","00:00:26.1406250","0","","True",,
"Code","5","800","2242628268032","85827584","38715392","38256","E:\MySoft\Microsoft VS Code\Code.exe","""E:\MySoft\Microsoft VS Code\Code.exe"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","117.46875","1.57.0","1.57.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","764","8",,"False","2021/06/14 23:57:20",,"14008",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","38256","38256","38715392","38715392","778720","778720","45768704","45768704","98803712","98803712","2246649085952","381190144","True","Normal","38715392","38715392","Code","255","5",,"System.Diagnostics.ProcessThreadCollection","800","2242628268032","655339520","False",,,,"85827584","85827584",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:50.9375000","00:01:57.4687500","00:01:06.5312500","1707344","pwsh-commands.ps1 - powershell - Visual Studio Code","True",,
"Code","5","394","2238023024640","42016768","22175744","17032","E:\MySoft\Microsoft VS Code\Code.exe","""E:\MySoft\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1364,12699180385919364944,12176125461545580844,131072 --enable-features=WebComponentsV0Enabled --disable-features=CalculateNativeWinOcclusion,CertVerifierService,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --service-sandbox-type=network --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=1716 /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","10.125","1.57.0","1.57.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4064","8",,"False","2021/06/14 23:57:35",,"14704",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17032","17032","22175744","22175744","461568","461568","22462464","22462464","54681600","54681600","2238099886080","421924864","True","Normal","22175744","22175744","Code","255","5",,"System.Diagnostics.ProcessThreadCollection","394","2238023024640","345063424","False",,,,"42016768","42016768",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:03.4843750","00:00:10.1250000","00:00:06.6406250","0","","True",,
"Code","5","476","2257595600896","236756992","197615616","29584","E:\MySoft\Microsoft VS Code\Code.exe","""E:\MySoft\Microsoft VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1364,12699180385919364944,12176125461545580844,131072 --enable-features=WebComponentsV0Enabled --disable-features=CalculateNativeWinOcclusion,CertVerifierService,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""E:\MySoft\Microsoft VS Code\resources\app"" --no-sandbox --no-zygote --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=17 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=2876 /prefetch:1 --vscode-window-config=vscode:aa5b54db-f6e7-4179-91b0-262c41b989bd","System.Diagnostics.Process (Code)","Microsoft Corporation","609.203125","1.57.0","1.57.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4180","8",,"False","2021/06/15 0:04:46",,"18364",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","29584","29584","197615616","197615616","613136","613136","222175232","222175232","281243648","281243648","2261935788032","-1511976960","True","Normal","197615616","197615616","Code","255","5",,"System.Diagnostics.ProcessThreadCollection","476","2257595600896","-1557196800","False",,,,"236756992","236756992",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:45.7812500","00:10:09.2031250","00:09:23.4218750","0","","True",,
"Code","5","208","2237979815936","23822336","9531392","12144","E:\MySoft\Microsoft VS Code\Code.exe","""E:\MySoft\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\euewrqe\AppData\Roaming\Code /prefetch:7 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\euewrqe\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=d24620a2-13fc-403d-9a2a-2fbb48afe0b6&iid=d24620a2-13fc-403d-9a2a-2fbb48afe0b6&sid=d24620a2-13fc-403d-9a2a-2fbb48afe0b6 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.57.0 --annotation=prod=Electron --annotation=ver=12.0.9 --initial-client-data=0x408,0x40c,0x410,0x3f0,0x414,0x7ff71f649e90,0x7ff71f649ea0,0x7ff71f649eb0","System.Diagnostics.Process (Code)","Microsoft Corporation","0.0625","1.57.0","1.57.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4336","8",,"False","2021/06/14 23:57:29",,"18532",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12144","12144","9531392","9531392","419784","419784","9637888","9637888","24903680","24903680","2238004088832","326127616","True","Normal","9531392","9531392","Code","255","5",,"System.Diagnostics.ProcessThreadCollection","208","2237979815936","301854720","False",,,,"23822336","23822336",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0156250","00:00:00.0625000","00:00:00.0468750","0","","True",,
"Code","5","273","2259540406272","67608576","57536512","17544","E:\MySoft\Microsoft VS Code\Code.exe","""E:\MySoft\Microsoft VS Code\Code.exe"" ""e:\MySoft\Microsoft VS Code\resources\app\out\bootstrap-fork"" --type=ptyHost","System.Diagnostics.Process (Code)","Microsoft Corporation","16.96875","1.57.0","1.57.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2552","8",,"False","2021/06/14 23:58:01",,"19224",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17544","17544","57536512","57536512","465168","465168","64737280","64737280","86032384","86032384","2263852150784","404385792","True","Normal","57536512","57536512","Code","255","5",,"System.Diagnostics.ProcessThreadCollection","273","2259540406272","387608576","False",,,,"67608576","67608576",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:09.6250000","00:00:16.9687500","00:00:07.3437500","0","","True",,
"CodeHelper","5","289","147169280","15335424","11927552","16136","e:\MySoft\Microsoft VS Code\resources\app\out\vs\platform\files\node\watcher\win32\CodeHelper.exe","""e:\MySoft\Microsoft VS Code\resources\app\out\vs\platform\files\node\watcher\win32\CodeHelper.exe"" f:\Heft\projects\powershell","System.Diagnostics.Process (Code)","Microsoft Corporation","1","1.0.0.0","1.0.0.0","CodeHelper","CodeHelper","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4540","8",,"False","2021/06/15 0:04:48",,"14244",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16136","16136","11927552","11927552","223280","223280","12304384","12304384","16379904","16379904","156409856","156409856","True","Normal","11927552","11927552","CodeHelper","255","5",,"System.Diagnostics.ProcessThreadCollection","289","147169280","147169280","False",,,,"15335424","15335424",,"System.Diagnostics.ProcessModule (CodeHelper.exe)","00:00:00.4218750","00:00:01","00:00:00.5781250","0","","True",,
"CompPkgSrv","5","148","2203414147072","9183232","2195456","7744","C:\Windows\System32\CompPkgSrv.exe","C:\Windows\System32\CompPkgSrv.exe -Embedding",,"Microsoft Corporation","0.296875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Component Package Support Server","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3820","8",,"False","2021/06/14 1:07:40",,"18076",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","7744","7744","2195456","2195456","116672","116672","2322432","2322432","9519104","9519104","2203415216128","96993280","True","Normal","2195456","2195456","CompPkgSrv","255","5",,"System.Diagnostics.ProcessThreadCollection","148","2203414147072","95924224","False",,,,"9183232","9183232",,"System.Diagnostics.ProcessModule (CompPkgSrv.exe)","00:00:00.1093750","00:00:00.2968750","00:00:00.1875000","0","","True",,
"conhost","5","196","2203469508608","18276352","7675904","12096","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","System.Diagnostics.Process (pwsh)","Microsoft Corporation","6.75","10.0.19041.1100 (WinBuild.160101.0800)","10.0.19041.1100","コンソール ウィンドウ ホスト","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4768","8",,"False","2021/06/15 2:18:57",,"444",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12096","12096","7675904","7675904","197872","197872","7794688","7794688","18280448","18280448","2203478183936","159961088","True","Normal","7675904","7675904","conhost","255","5",,"System.Diagnostics.ProcessThreadCollection","196","2203469508608","151285760","False",,,,"18276352","18276352",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:04.3750000","00:00:06.7500000","00:00:02.3750000","0","","True",,
"conhost","5","104","2203407925248","6701056","1441792","8008","C:\WINDOWS\system32\conhost.exe","\\?\C:\WINDOWS\system32\conhost.exe --headless --width 108 --height 3 --signal 0x40c --server 0x408","System.Diagnostics.Process (Code)","Microsoft Corporation","5.484375","10.0.19041.1100 (WinBuild.160101.0800)","10.0.19041.1100","コンソール ウィンドウ ホスト","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","680","8",,"False","2021/06/15 0:04:52",,"1640",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","8008","8008","1441792","1441792","116912","116912","1441792","1441792","6856704","6856704","2203408973824","90750976","True","Normal","1441792","1441792","conhost","255","5",,"System.Diagnostics.ProcessThreadCollection","104","2203407925248","89702400","False",,,,"6701056","6701056",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:02.9062500","00:00:05.4843750","00:00:02.5781250","0","","True",,
"conhost","0","156","2203415728128","8478720","6856704","10184",,,,,,,,,,"Process",,,"8",,,,,"5116",".",,,,"10184","10184","6856704","6856704","112640","112640","7446528","7446528","13770752","13770752","2203418169344","99946496",,,"6856704","6856704","conhost",,"0",,"System.Diagnostics.ProcessThreadCollection","156","2203415728128","97505280","False",,,,"8478720","8478720",,,,,,"0","","True",,
"conhost","0","156","2203415728128","8482816","6848512","10184",,,,,,,,,,"Process",,,"8",,,,,"5316",".",,,,"10184","10184","6848512","6848512","112640","112640","7479296","7479296","13770752","13770752","2203418693632","100470784",,,"6848512","6848512","conhost",,"0",,"System.Diagnostics.ProcessThreadCollection","156","2203415728128","97505280","False",,,,"8482816","8482816",,,,,,"0","","True",,
"conhost","0","130","2203409362944","7401472","6676480","9368",,,,,,,,,,"Process",,,"8",,,,,"5816",".",,,,"9368","9368","6676480","6676480","100320","100320","6742016","6742016","12685312","12685312","2203452788736","134565888",,,"6676480","6676480","conhost",,"0",,"System.Diagnostics.ProcessThreadCollection","130","2203409362944","91140096","False",,,,"7401472","7401472",,,,,,"0","","True",,
"conhost","5","101","2203407925248","6549504","1359872","7880","C:\WINDOWS\system32\conhost.exe","\\?\C:\WINDOWS\system32\conhost.exe --headless --width 108 --height 21 --signal 0x2e4 --server 0x2dc","System.Diagnostics.Process (Code)","Microsoft Corporation","0.03125","10.0.19041.1100 (WinBuild.160101.0800)","10.0.19041.1100","コンソール ウィンドウ ホスト","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4200","8",,"False","2021/06/14 23:58:07",,"6560",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","7880","7880","1359872","1359872","107184","107184","1380352","1380352","6815744","6815744","2203408973824","90750976","True","Normal","1359872","1359872","conhost","255","5",,"System.Diagnostics.ProcessThreadCollection","101","2203407925248","89702400","False",,,,"6549504","6549504",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:00.0156250","00:00:00.0312500","00:00:00.0156250","0","","True",,
"conhost","5","104","2203407925248","6586368","1372160","8008","C:\WINDOWS\system32\conhost.exe","\\?\C:\WINDOWS\system32\conhost.exe --headless --width 91 --height 3 --signal 0x350 --server 0x34c","System.Diagnostics.Process (Code)","Microsoft Corporation","1.1875","10.0.19041.1100 (WinBuild.160101.0800)","10.0.19041.1100","コンソール ウィンドウ ホスト","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4704","8",,"False","2021/06/14 23:58:44",,"7240",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","8008","8008","1372160","1372160","108720","108720","1396736","1396736","6844416","6844416","2203408973824","90750976","True","Normal","1372160","1372160","conhost","255","5",,"System.Diagnostics.ProcessThreadCollection","104","2203407925248","89702400","False",,,,"6586368","6586368",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:00.5937500","00:00:01.1875000","00:00:00.5937500","0","","True",,
"conhost","0","137","2203409362944","7503872","6676480","9368",,,,,,,,,,"Process",,,"8",,,,,"7508",".",,,,"9368","9368","6676480","6676480","108384","108384","6737920","6737920","12718080","12718080","2203410411520","92188672",,,"6676480","6676480","conhost",,"0",,"System.Diagnostics.ProcessThreadCollection","137","2203409362944","91140096","False",,,,"7503872","7503872",,,,,,"0","","True",,
"conhost","5","101","2203421642752","6193152","6492160","7464","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","System.Diagnostics.Process (CodeHelper)","Microsoft Corporation","0.046875","10.0.19041.1100 (WinBuild.160101.0800)","10.0.19041.1100","コンソール ウィンドウ ホスト","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4120","8",,"False","2021/06/15 0:04:48",,"11544",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","7464","7464","6492160","6492160","121184","121184","6549504","6549504","11784192","11784192","2203422691328","104468480","True","Normal","6492160","6492160","conhost","255","5",,"System.Diagnostics.ProcessThreadCollection","101","2203421642752","103419904","False",,,,"6193152","6193152",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:00.0312500","00:00:00.0468750","00:00:00.0156250","0","","True",,
"conhost","0","101","2203400540160","5701632","6373376","6784",,,,,,,,,,"Process",,,"8",,,,,"16896",".",,,,"6784","6784","6373376","6373376","80336","80336","6430720","6430720","11362304","11362304","2203401588736","83365888",,,"6373376","6373376","conhost",,"0",,"System.Diagnostics.ProcessThreadCollection","101","2203400540160","82317312","False",,,,"5701632","5701632",,,,,,"0","","True",,
"conhost","5","98","2203407925248","6533120","1314816","8008","C:\WINDOWS\system32\conhost.exe","\\?\C:\WINDOWS\system32\conhost.exe --headless --width 91 --height 3 --signal 0x3a8 --server 0x3bc","System.Diagnostics.Process (Code)","Microsoft Corporation","0.03125","10.0.19041.1100 (WinBuild.160101.0800)","10.0.19041.1100","コンソール ウィンドウ ホスト","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3604","8",,"False","2021/06/15 0:04:46",,"17508",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","8008","8008","1314816","1314816","107184","107184","1343488","1343488","6787072","6787072","2203408973824","90750976","True","Normal","1314816","1314816","conhost","255","5",,"System.Diagnostics.ProcessThreadCollection","98","2203407925248","89702400","False",,,,"6533120","6533120",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:00.0156250","00:00:00.0312500","00:00:00.0156250","0","","True",,
"Cortana","5","668","5162606592","58621952","29429760","51912","C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_3.2105.19601.0_x64__8wekyb3d8bbwe\Cortana.exe","""C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_3.2105.19601.0_x64__8wekyb3d8bbwe\Cortana.exe"" -ServerName:App.AppX2y379sjp88wjq1y80217mddj3fargf2y.mca",,"Microsoft Corporation","1.0625","3.2105.19601.0","3.2105.19601.0-gabf71c0e","Cortana","Cortana","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4360","8",,"False","2021/06/13 23:15:57",,"16116",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","51912","51912","29429760","29429760","630896","630896","30892032","30892032","88203264","88203264","5172043776","877076480","True","Normal","29429760","29429760","Cortana","255","5",,"System.Diagnostics.ProcessThreadCollection","668","5162606592","867639296","False",,,,"58621952","58621952",,"System.Diagnostics.ProcessModule (Cortana.exe)","00:00:00.3437500","00:00:01.0625000","00:00:00.7187500","0","","True",,
